pedestrian_id,location,gender,age_group,crowd_density,weather,time_period,n_points_valid,duration_s,path_length_m,displacement_m,straightness,traj_avg_speed_ms,base_speed_ms,stop_count,stop_rate_per_s,direction_change,direction_change_rate
A00001,A,남성,20대,높음,흐림,낮,10.0,9.0,10.000138069175946,10.000030675822813,0.9999892608129618,1.1111264521306607,1.422857142857143,1.0,0.1111111111111111,0.0,0.0
A00002,A,남성,30대,높음,흐림,낮,10.0,9.0,7.33675786432737,7.336730854310501,0.9999963185350574,0.8151953182585967,1.422857142857143,2.0,0.2222222222222222,1.0,0.1111111111111111
A00003,A,남성,30대,높음,흐림,낮,10.0,9.0,8.590768699977119,8.590768699977119,1.0,0.9545298555530132,1.4185714285714286,1.0,0.1111111111111111,0.0,0.0
A00004,A,남성,20대,높음,흐림,낮,10.0,9.0,10.000016631100358,10.00000009619757,0.9999983465124712,1.1111129590111508,1.4157142857142857,1.0,0.1111111111111111,0.0,0.0
A00005,A,남성,30대,높음,흐림,낮,10.0,9.0,9.29124590886777,9.291193857117504,0.9999943977642205,1.0323606565408634,1.4242857142857144,2.0,0.2222222222222222,1.0,0.1111111111111111
A00006,A,여성,20대,높음,흐림,낮,10.0,9.0,9.621054630403199,9.621054630403199,1.0,1.0690060700447999,1.4214285714285713,0.0,0.0,0.0,0.0
A00007,A,남성,20대,높음,흐림,낮,10.0,9.0,9.743165510160583,9.743139895477823,0.9999973710101985,1.0825739455733983,1.417142857142857,0.0,0.0,0.0,0.0
A00008,A,여성,30대,높음,흐림,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4142857142857144,3.0,0.3333333333333333,0.0,0.0
A00009,A,여성,20대,높음,흐림,낮,10.0,9.0,8.103642158657184,8.103607468127755,0.9999957191434728,0.9004046842952427,1.4271428571428573,0.0,0.0,0.0,0.0
A00010,A,남성,20대,높음,흐림,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4285714285714286,0.0,0.0,0.0,0.0
A00011,A,남성,20대,높음,흐림,낮,10.0,9.0,10.000054734162237,10.00000006353306,0.9999945329670056,1.111117192684693,1.4157142857142857,1.0,0.1111111111111111,2.0,0.2222222222222222
A00012,A,남성,40대,높음,흐림,낮,10.0,9.0,8.525016583569748,8.524971338374204,0.9999946926560083,0.9472240648410831,1.4242857142857144,0.0,0.0,0.0,0.0
A00013,A,남성,20대,높음,흐림,낮,10.0,9.0,9.42251729599883,9.422480497667218,0.9999960946389955,1.0469463662220921,1.42,1.0,0.1111111111111111,0.0,0.0
