pedestrian_id,location,gender,age_group,crowd_density,weather,time_period,n_points_valid,duration_s,path_length_m,displacement_m,straightness,traj_avg_speed_ms,base_speed_ms,stop_count,stop_rate_per_s,direction_change,direction_change_rate
C00001,C,남성,30대,높음,맑음,낮,10.0,9.0,10.000081698080383,10.000018151385811,0.9999936453824588,1.1111201886755981,1.4242857142857144,1.0,0.1111111111111111,0.0,0.0
C00002,C,남성,20대,높음,맑음,낮,10.0,9.0,7.3367955787743675,7.336749914921448,0.9999937760494443,0.8151995087527075,1.4271428571428573,1.0,0.1111111111111111,0.0,0.0
C00003,C,남성,10대,높음,맑음,낮,10.0,9.0,10.000057879496277,10.000009551476927,0.9999951672260369,1.111117542166253,1.2285714285714289,0.0,0.0,0.0,0.0
C00004,C,남성,10대,높음,맑음,낮,10.0,9.0,8.548190682228169,8.548190682228169,1.0,0.9497989646920187,1.417142857142857,2.0,0.2222222222222222,0.0,0.0
C00005,C,남성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.9542857142857144,0.0,0.0,0.0,0.0
C00006,C,남성,40대,높음,맑음,낮,10.0,9.0,10.00005232167585,10.000011261471533,0.9999958940010515,1.11111692463065,1.2328571428571429,0.0,0.0,0.0,0.0
C00007,C,남성,40대,높음,맑음,낮,10.0,9.0,8.285026223325422,8.284996243536657,0.99999638144914,0.9205584692583803,0.8985714285714286,0.0,0.0,0.0,0.0
C00008,C,남성,20대,높음,맑음,낮,10.0,9.0,8.785806250390033,8.785689974557934,0.9999867654909765,0.9762006944877815,1.4157142857142857,1.0,0.1111111111111111,0.0,0.0
C00009,C,여성,30대,높음,맑음,낮,10.0,9.0,10.000041492089228,10.00001332233687,0.9999971830364524,1.1111157213432474,1.4271428571428573,0.0,0.0,0.0,0.0
C00010,C,남성,30대,높음,맑음,낮,10.0,9.0,8.075947876759749,8.075904447028163,0.9999946223363192,0.8973275418621943,1.4271428571428573,1.0,0.1111111111111111,0.0,0.0
C00011,C,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.42,1.0,0.1111111111111111,0.0,0.0
C00012,C,남성,50대,높음,맑음,낮,10.0,9.0,8.102782494547734,8.102782494547734,1.0,0.9003091660608593,1.4242857142857144,0.0,0.0,0.0,0.0
C00013,C,여성,40대,높음,맑음,낮,10.0,9.0,9.380021104982157,9.380000002666248,0.9999977502912123,1.0422245672202397,1.34,0.0,0.0,1.0,0.1111111111111111
C00014,C,남성,30대,높음,맑음,낮,10.0,9.0,7.338825559677626,7.338749140700537,0.999989587029087,0.8154250621864029,1.2857142857142858,1.0,0.1111111111111111,0.0,0.0
C00015,C,남성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4214285714285713,0.0,0.0,0.0,0.0
C00016,C,여성,30대,높음,맑음,낮,10.0,9.0,9.887362693736874,9.887362693736875,1.0000000000000002,1.0985958548596526,1.417142857142857,0.0,0.0,0.0,0.0
C00017,C,남성,40대,높음,맑음,낮,10.0,9.0,7.43,7.43,1.0,0.8255555555555555,1.0614285714285716,0.0,0.0,0.0,0.0
C00018,C,남성,20대,높음,맑음,낮,10.0,9.0,8.079062497517274,8.079038272194826,0.9999970014686165,0.8976736108352527,1.1942857142857142,0.0,0.0,0.0,0.0
C00019,C,여성,30대,높음,맑음,낮,10.0,9.0,7.31,7.31,1.0,0.8122222222222222,1.0442857142857145,1.0,0.1111111111111111,0.0,0.0
C00020,C,남성,30대,높음,맑음,낮,10.0,9.0,7.918327208623066,7.9183093112670315,0.9999977397554354,0.8798141342914518,1.4185714285714286,1.0,0.1111111111111111,0.0,0.0
C00021,C,남성,50대,높음,맑음,낮,10.0,9.0,8.583710218817854,8.583667345394387,0.9999950052573567,0.9537455798686505,1.4214285714285713,0.0,0.0,1.0,0.1111111111111111
C00022,C,남성,50대,높음,맑음,낮,10.0,9.0,9.771868741998095,9.771839809219516,0.9999970391765033,1.0857631935553438,1.417142857142857,0.0,0.0,1.0,0.1111111111111111
C00023,C,여성,40대,높음,맑음,낮,10.0,9.0,8.311758712332827,8.311758712332827,1.0,0.9235287458147585,1.4157142857142857,0.0,0.0,1.0,0.1111111111111111
C00024,C,남성,40대,높음,맑음,낮,10.0,9.0,9.46,9.46,1.0,1.051111111111111,1.3514285714285712,1.0,0.1111111111111111,1.0,0.1111111111111111
C00025,C,여성,40대,높음,맑음,낮,10.0,9.0,10.000030445006967,10.00000053712386,0.9999970092207947,1.111114493889663,1.292857142857143,0.0,0.0,0.0,0.0
C00026,C,여성,20대,높음,맑음,낮,10.0,9.0,9.069844041036124,9.069811353581064,0.9999963960289823,1.0077604490040137,1.422857142857143,1.0,0.1111111111111111,0.0,0.0
C00027,C,남성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4214285714285713,0.0,0.0,0.0,0.0
C00028,C,여성,40대,높음,맑음,낮,10.0,9.0,9.556507150453921,9.55648177900851,0.9999973451131244,1.0618341278282135,1.3071428571428572,1.0,0.1111111111111111,1.0,0.1111111111111111
C00029,C,여성,50대,높음,맑음,낮,10.0,9.0,10.000042315803872,10.000005134354703,0.9999962818708167,1.111115812867097,1.4285714285714286,0.0,0.0,0.0,0.0
C00030,C,남성,30대,높음,맑음,낮,10.0,9.0,10.000093264352424,10.000050688180924,0.999995742422558,1.111121473816936,1.4157142857142857,0.0,0.0,0.0,0.0
C00031,C,남성,20대,높음,맑음,낮,10.0,9.0,9.95735362757372,9.957287070711509,0.9999933158081252,1.106372625285969,1.4257142857142855,2.0,0.2222222222222222,0.0,0.0
C00032,C,남성,40대,높음,맑음,낮,10.0,9.0,10.000032769621056,10.000004216390353,0.9999971446862865,1.1111147521801172,1.417142857142857,0.0,0.0,0.0,0.0
C00033,C,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.8842857142857143,1.0,0.1111111111111111,0.0,0.0
C00034,C,여성,30대,높음,맑음,낮,10.0,9.0,9.160849805840735,9.160849805840735,1.0,1.0178722006489707,1.422857142857143,2.0,0.2222222222222222,1.0,0.1111111111111111
C00035,C,여성,20대,높음,맑음,낮,10.0,9.0,9.203251569695738,9.203169168505504,0.9999910465133317,1.0225835077439709,1.4242857142857144,1.0,0.1111111111111111,0.0,0.0
C00036,C,여성,30대,높음,맑음,낮,10.0,9.0,7.241825512375072,7.241726608131016,0.9999863426364131,0.8046472791527858,1.4185714285714286,1.0,0.1111111111111111,2.0,0.2222222222222222
C00037,C,남성,50대,높음,맑음,낮,10.0,9.0,10.000056010612397,10.000006658746756,0.999995064841078,1.1111173345124885,1.4214285714285713,1.0,0.1111111111111111,2.0,0.2222222222222222
C00038,C,남성,30대,높음,맑음,낮,10.0,9.0,7.667864574790461,7.667864574790461,1.0,0.8519849527544957,1.3785714285714283,0.0,0.0,1.0,0.1111111111111111
C00039,C,남성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4271428571428573,1.0,0.1111111111111111,3.0,0.3333333333333333
C00040,C,남성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.7614285714285715,1.0,0.1111111111111111,0.0,0.0
C00041,C,남성,60대 이상,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.15,0.0,0.0,0.0,0.0
C00042,C,남성,30대,높음,맑음,낮,10.0,9.0,8.87572733955609,8.873836345012988,0.999786947652766,0.9861919266173432,1.422857142857143,2.0,0.2222222222222222,0.0,0.0
C00043,C,남성,40대,높음,맑음,낮,10.0,9.0,10.000017029646902,10.00000000454726,0.9999982974929352,1.1111130032941001,0.7,0.0,0.0,0.0,0.0
C00044,C,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.1557142857142857,1.0,0.1111111111111111,0.0,0.0
