pedestrian_id,location,gender,age_group,crowd_density,weather,time_period,n_points_valid,duration_s,path_length_m,displacement_m,straightness,traj_avg_speed_ms,base_speed_ms,stop_count,stop_rate_per_s,direction_change,direction_change_rate
B00001,B,남성,40대,높음,맑음,낮,10.0,9.0,10.000081698080383,10.000018151385811,0.9999936453824588,1.1111201886755981,1.4214285714285713,1.0,0.1111111111111111,0.0,0.0
B00002,B,남성,50대,높음,맑음,낮,10.0,9.0,7.33675786432737,7.336730854310501,0.9999963185350574,0.8151953182585967,1.4271428571428573,0.0,0.0,0.0,0.0
B00003,B,여성,50대,높음,맑음,낮,10.0,9.0,8.590807929579231,8.590775278855245,0.9999961993418718,0.9545342143976924,1.3985714285714288,0.0,0.0,0.0,0.0
B00004,B,여성,20대,높음,맑음,낮,10.0,9.0,8.603133748000955,8.603133748000955,1.0,0.955903749777884,1.42,0.0,0.0,0.0,0.0
B00005,B,남성,20대,높음,맑음,낮,10.0,9.0,10.000058196191965,10.000009833894543,0.9999951637984027,1.1111175773546629,1.4257142857142855,2.0,0.2222222222222222,0.0,0.0
B00006,B,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4185714285714286,0.0,0.0,0.0,0.0
B00007,B,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4185714285714286,1.0,0.1111111111111111,0.0,0.0
B00008,B,남성,10대,높음,맑음,낮,10.0,9.0,8.649056182486255,8.648856569012011,0.9999769207795588,0.9610062424984728,1.344285714285714,0.0,0.0,1.0,0.1111111111111111
B00009,B,남성,20대,높음,맑음,낮,10.0,9.0,8.103642181214816,8.103607468127755,0.9999957163598435,0.9004046868016462,1.4157142857142857,0.0,0.0,0.0,0.0
B00010,B,여성,50대,높음,맑음,낮,10.0,9.0,8.725491829398496,8.725491829398496,1.0,0.9694990921553885,1.4214285714285713,0.0,0.0,0.0,0.0
B00011,B,남성,50대,높음,맑음,낮,10.0,9.0,9.312161336584605,9.312161336584605,1.0,1.034684592953845,1.4285714285714286,0.0,0.0,2.0,0.2222222222222222
B00012,B,남성,20대,높음,맑음,낮,10.0,9.0,9.484579374532982,9.484579374532984,1.0000000000000002,1.053842152725887,1.417142857142857,1.0,0.1111111111111111,2.0,0.2222222222222222
B00013,B,여성,30대,높음,맑음,낮,10.0,9.0,9.560137318146477,9.560137318146477,1.0,1.062237479794053,0.9457142857142856,1.0,0.1111111111111111,0.0,0.0
B00014,B,남성,60대 이상,높음,맑음,낮,10.0,9.0,7.338839618716726,7.33875047879493,0.9999878536762721,0.8154266243018584,1.13,3.0,0.3333333333333333,0.0,0.0
B00015,B,여성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4157142857142857,0.0,0.0,0.0,0.0
B00016,B,남성,20대,높음,맑음,낮,10.0,9.0,9.887384189571392,9.887372184299823,0.9999987857990202,1.0985982432857102,1.4185714285714286,0.0,0.0,0.0,0.0
