pedestrian_id,location,gender,age_group,crowd_density,weather,time_period,n_points_valid,duration_s,path_length_m,displacement_m,straightness,traj_avg_speed_ms,base_speed_ms,stop_count,stop_rate_per_s,direction_change,direction_change_rate
D00001,D,남성,30대,높음,맑음,낮,10.0,9.0,8.551000339558337,8.551000339558337,1.0,0.9501111488398153,0.7000000000000001,1.0,0.1111111111111111,0.0,0.0
D00002,D,남성,20대,높음,맑음,낮,10.0,9.0,7.336703230148774,7.336703230148774,1.0,0.8151892477943082,1.0485714285714287,3.0,0.3333333333333333,2.0,0.2222222222222222
D00003,D,여성,20대,높음,맑음,낮,10.0,9.0,8.590768699977119,8.590768699977119,1.0,0.9545298555530132,1.241428571428571,5.0,0.5555555555555556,1.0,0.1111111111111111
D00004,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000016631100358,10.00000009619757,0.9999983465124712,1.1111129590111508,1.4271428571428573,0.0,0.0,1.0,0.1111111111111111
D00005,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000058196191965,10.000009833894543,0.9999951637984027,1.1111175773546629,1.4157142857142857,0.0,0.0,0.0,0.0
D00006,D,여성,20대,높음,맑음,낮,10.0,9.0,10.000088423358802,10.000019031879495,0.999993060913427,1.1111209359287557,1.422857142857143,0.0,0.0,1.0,0.1111111111111111
D00007,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000040952730018,10.000016114478115,0.9999975161849816,1.1111156614144464,1.387142857142857,1.0,0.1111111111111111,0.0,0.0
D00008,D,남성,30대,높음,맑음,낮,10.0,9.0,8.128216664098481,8.128004259680909,0.9999738682633165,0.9031351848998312,1.4157142857142857,0.0,0.0,0.0,0.0
D00009,D,여성,30대,높음,맑음,낮,10.0,9.0,10.000041492089228,10.00001332233687,0.9999971830364524,1.1111157213432474,1.4271428571428573,1.0,0.1111111111111111,0.0,0.0
D00010,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000025130000902,10.000005683482062,0.9999980553530029,1.1111139033334334,1.422857142857143,0.0,0.0,1.0,0.1111111111111111
D00011,D,여성,30대,높음,맑음,낮,10.0,9.0,9.0885917367642,9.0885917367642,1.0,1.0098435263071335,1.4185714285714286,0.0,0.0,3.0,0.3333333333333333
D00012,D,여성,40대,높음,맑음,낮,10.0,9.0,8.568203815517897,8.568203815517897,1.0,0.9520226461686553,0.7000000000000001,0.0,0.0,0.0,0.0
D00013,D,남성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.0914285714285714,0.0,0.0,1.0,0.1111111111111111
D00014,D,남성,20대,높음,맑음,낮,10.0,9.0,7.338747201432868,7.338747201432868,1.0,0.8154163557147631,1.417142857142857,1.0,0.1111111111111111,0.0,0.0
D00015,D,여성,20대,높음,맑음,낮,10.0,9.0,9.257950717237065,9.257932826234107,0.9999980674985744,1.0286611908041183,0.7,0.0,0.0,0.0,0.0
D00016,D,여성,20대,높음,맑음,낮,10.0,9.0,9.887384189571392,9.887372184299823,0.9999987857990202,1.0985982432857102,1.4271428571428573,0.0,0.0,0.0,0.0
D00017,D,여성,20대,높음,맑음,낮,10.0,9.0,9.160026720454312,9.160000510190333,0.9999971386258164,1.0177807467171458,1.3085714285714285,0.0,0.0,0.0,0.0
D00018,D,남성,30대,높음,맑음,낮,10.0,9.0,8.079116033100838,8.079073624712196,0.9999947508627839,0.8976795592334265,1.4185714285714286,3.0,0.3333333333333333,0.0,0.0
D00019,D,여성,30대,높음,맑음,낮,10.0,9.0,9.19370802454333,9.193639033299412,0.9999924958195612,1.0215231138381478,1.4271428571428573,0.0,0.0,0.0,0.0
D00020,D,남성,20대,높음,맑음,낮,10.0,9.0,7.918339204284104,7.918309487046638,0.9999962470365693,0.8798154671426782,1.4214285714285713,1.0,0.1111111111111111,2.0,0.2222222222222222
D00021,D,여성,30대,높음,맑음,낮,10.0,9.0,8.583706729538314,8.583667345394387,0.9999954117556473,0.9537451921709237,1.4285714285714286,0.0,0.0,0.0,0.0
D00022,D,남성,20대,높음,맑음,낮,10.0,9.0,9.771870052664418,9.771839809219514,0.9999969050504416,1.0857633391849353,1.422857142857143,0.0,0.0,0.0,0.0
D00023,D,남성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4271428571428573,3.0,0.3333333333333333,0.0,0.0
D00024,D,여성,20대,높음,맑음,낮,10.0,9.0,9.934258978338349,9.934215149591553,0.9999955881211784,1.1038065531487053,1.4257142857142855,1.0,0.1111111111111111,1.0,0.1111111111111111
D00025,D,여성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.42,0.0,0.0,3.0,0.3333333333333333
D00026,D,남성,30대,높음,맑음,낮,10.0,9.0,8.782816904643868,8.782816904643868,1.0,0.9758685449604297,1.417142857142857,2.0,0.2222222222222222,1.0,0.1111111111111111
D00027,D,여성,40대,높음,맑음,낮,10.0,9.0,8.151745133001707,8.151745133001707,1.0,0.9057494592224119,1.417142857142857,0.0,0.0,0.0,0.0
D00028,D,남성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.7000000000000001,2.0,0.2222222222222222,0.0,0.0
D00029,D,여성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4271428571428573,0.0,0.0,1.0,0.1111111111111111
D00030,D,남성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.9171428571428571,1.0,0.1111111111111111,0.0,0.0
D00031,D,남성,20대,높음,맑음,낮,10.0,9.0,9.910126305262722,9.910000350597612,0.9999872903067801,1.1011251450291912,1.4157142857142857,1.0,0.1111111111111111,0.0,0.0
D00032,D,여성,20대,높음,맑음,낮,10.0,9.0,9.878972528908816,9.878972528908816,1.0,1.097663614323202,1.4242857142857144,0.0,0.0,0.0,0.0
D00033,D,남성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4242857142857144,2.0,0.2222222222222222,0.0,0.0
D00034,D,여성,40대,높음,맑음,낮,10.0,9.0,9.16090649793366,9.160852336775065,0.999994087794848,1.0178784997704067,1.3614285714285714,0.0,0.0,0.0,0.0
D00035,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000081499026594,10.000005663764254,0.9999924165355705,1.1111201665585104,1.422857142857143,0.0,0.0,1.0,0.1111111111111111
D00036,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000085189372204,10.000015958821903,0.9999930770039466,1.1111205765969114,1.4285714285714286,0.0,0.0,0.0,0.0
D00037,D,여성,20대,높음,맑음,낮,10.0,9.0,9.149250435804161,9.149196470687153,0.9999941016898175,1.016583381756018,1.4242857142857144,2.0,0.2222222222222222,0.0,0.0
D00038,D,여성,30대,높음,맑음,낮,10.0,9.0,7.667864574790461,7.667864574790461,1.0,0.8519849527544957,1.4142857142857144,1.0,0.1111111111111111,0.0,0.0
D00039,D,여성,30대,높음,맑음,낮,10.0,9.0,10.000020464141672,10.000008885914843,0.9999988421796865,1.1111133849046302,1.4242857142857144,0.0,0.0,0.0,0.0
D00040,D,여성,30대,높음,맑음,낮,10.0,9.0,9.20215222124894,9.20215222124894,1.0,1.022461357916549,1.4157142857142857,0.0,0.0,2.0,0.2222222222222222
D00041,D,남성,30대,높음,맑음,낮,10.0,9.0,8.67840102143357,8.67840102143357,1.0,0.9642667801592856,1.4242857142857144,2.0,0.2222222222222222,0.0,0.0
D00042,D,여성,20대,높음,맑음,낮,10.0,9.0,8.873885887600151,8.873836345012988,0.9999944170358069,0.9859873208444613,1.417142857142857,0.0,0.0,0.0,0.0
D00043,D,남성,50대,높음,맑음,낮,10.0,9.0,8.200845081974242,8.200825559701624,0.99999761948038,0.9112050091082491,1.3214285714285714,0.0,0.0,0.0,0.0
D00044,D,남성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4285714285714286,1.0,0.1111111111111111,0.0,0.0
D00045,D,남성,20대,높음,맑음,낮,10.0,9.0,8.112744001703852,8.112744001703852,1.0,0.9014160001893169,1.2128571428571429,1.0,0.1111111111111111,0.0,0.0
D00046,D,남성,20대,높음,맑음,낮,10.0,9.0,10.00003502971126,10.000000818123567,0.9999965788532149,1.1111150033012511,1.4257142857142855,0.0,0.0,0.0,0.0
D00047,D,남성,20대,높음,맑음,낮,10.0,9.0,8.142997321831444,8.142934248727665,0.9999922543135793,0.9047774802034938,1.422857142857143,0.0,0.0,0.0,0.0
D00048,D,여성,20대,높음,맑음,낮,10.0,9.0,7.569999999999999,7.569999999999999,1.0,0.841111111111111,1.0814285714285714,5.0,0.5555555555555556,0.0,0.0
D00049,D,여성,30대,높음,맑음,낮,10.0,9.0,10.000188051230051,10.000000204663191,0.9999812156965552,1.1111320056922278,1.1528571428571428,2.0,0.2222222222222222,1.0,0.1111111111111111
D00050,D,여성,20대,높음,맑음,낮,10.0,9.0,10.000032732664671,10.000007387162459,0.999997465458075,1.1111147480738524,1.4185714285714286,0.0,0.0,0.0,0.0
D00051,D,여성,60대 이상,높음,맑음,낮,10.0,9.0,7.33,7.33,1.0,0.8144444444444444,1.0471428571428572,0.0,0.0,0.0,0.0
D00052,D,여성,20대,높음,맑음,낮,10.0,9.0,8.962338369714619,8.962338369714619,1.0,0.9958153744127354,1.4242857142857144,0.0,0.0,0.0,0.0
D00053,D,남성,20대,높음,맑음,낮,10.0,9.0,9.141188379529572,9.141188379529572,1.0,1.015687597725508,1.4271428571428573,0.0,0.0,2.0,0.2222222222222222
D00054,D,여성,50대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,0.7000000000000001,0.0,0.0,0.0,0.0
D00055,D,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.42,1.0,0.1111111111111111,2.0,0.2222222222222222
D00056,D,남성,30대,높음,맑음,낮,10.0,9.0,10.000074589051353,10.00000095230955,0.9999926363807442,1.1111193987834838,1.0885714285714287,3.0,0.3333333333333333,0.0,0.0
D00057,D,남성,20대,높음,맑음,낮,10.0,9.0,8.777052608246139,8.777052608246139,1.0,0.9752280675829044,1.417142857142857,1.0,0.1111111111111111,1.0,0.1111111111111111
D00058,D,여성,30대,높음,맑음,낮,10.0,9.0,9.704889829107998,9.704789150675161,0.9999896260097116,1.0783210921231108,1.2971428571428572,1.0,0.1111111111111111,0.0,0.0
D00059,D,여성,20대,높음,맑음,낮,10.0,9.0,9.231048500415444,9.231028401202318,0.9999978226511187,1.025672055601716,1.417142857142857,0.0,0.0,0.0,0.0
D00060,D,여성,30대,높음,맑음,낮,10.0,9.0,7.466389197008345,7.466263031895191,0.9999831022586922,0.8295987996675939,1.42,1.0,0.1111111111111111,0.0,0.0
D00061,D,남성,60대 이상,높음,맑음,낮,10.0,9.0,7.934734658732173,7.934734658732173,1.0,0.8816371843035749,1.4142857142857144,2.0,0.2222222222222222,1.0,0.1111111111111111
D00062,D,남성,20대,높음,맑음,낮,10.0,9.0,9.698021464260533,9.698021464260533,1.0,1.0775579404733926,1.42,2.0,0.2222222222222222,0.0,0.0
D00063,D,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4242857142857144,0.0,0.0,0.0,0.0
D00064,D,여성,20대,높음,맑음,낮,10.0,9.0,8.160392054217267,8.160336758309878,0.9999932238663263,0.906710228246363,1.4242857142857144,1.0,0.1111111111111111,0.0,0.0
D00065,D,남성,50대,높음,맑음,낮,10.0,9.0,8.814972936748998,8.814953361372778,0.9999977793038776,0.9794414374165553,1.4271428571428573,1.0,0.1111111111111111,0.0,0.0
D00066,D,남성,20대,높음,맑음,낮,10.0,9.0,7.230678891610674,7.230652059926144,0.9999962891887564,0.8034087657345194,1.417142857142857,2.0,0.2222222222222222,2.0,0.2222222222222222
D00067,D,여성,50대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4242857142857144,2.0,0.2222222222222222,0.0,0.0
D00068,D,여성,30대,높음,맑음,낮,10.0,9.0,10.000179562772878,10.00000006086793,0.999982050131818,1.11113106253032,1.422857142857143,2.0,0.2222222222222222,3.0,0.3333333333333333
D00069,D,남성,30대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.417142857142857,1.0,0.1111111111111111,0.0,0.0
D00070,D,남성,50대,높음,맑음,낮,10.0,9.0,10.000113826060613,10.00000805134177,0.9999894226485135,1.1111237584511793,1.42,3.0,0.3333333333333333,0.0,0.0
D00071,D,여성,60대 이상,높음,맑음,낮,10.0,9.0,10.00004761525739,10.000000439597311,0.9999952824564549,1.1111164016952655,1.0471428571428572,0.0,0.0,0.0,0.0
D00072,D,남성,20대,높음,맑음,낮,10.0,9.0,10.000038216205915,10.00002440913677,0.999998619298362,1.111115357356213,1.4157142857142857,1.0,0.1111111111111111,1.0,0.1111111111111111
D00073,D,여성,20대,높음,맑음,낮,10.0,9.0,10.00002270603682,10.000002770442613,0.999998006445106,1.111113634004091,1.4271428571428573,1.0,0.1111111111111111,1.0,0.1111111111111111
D00074,D,남성,20대,높음,맑음,낮,10.0,9.0,7.570513293447666,7.5702543174440535,0.9999657914868418,0.8411681437164074,1.4242857142857144,0.0,0.0,0.0,0.0
D00075,D,여성,30대,높음,맑음,낮,10.0,9.0,9.863593181968772,9.863567346760032,0.9999973807507808,1.0959547979965303,1.42,0.0,0.0,3.0,0.3333333333333333
D00076,D,여성,20대,높음,맑음,낮,10.0,9.0,7.806968232745195,7.806915685936767,0.9999932692426994,0.8674409147494662,1.4257142857142855,0.0,0.0,2.0,0.2222222222222222
D00077,D,여성,20대,높음,맑음,낮,10.0,9.0,7.6200535772998546,7.620000004761513,0.9999929695325895,0.8466726196999839,1.0885714285714287,0.0,0.0,3.0,0.3333333333333333
D00078,D,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4214285714285713,0.0,0.0,1.0,0.1111111111111111
D00079,D,남성,20대,높음,맑음,낮,10.0,9.0,9.54531390490851,9.545294985270091,0.9999980179134383,1.0605904338787233,1.4257142857142855,2.0,0.2222222222222222,0.0,0.0
D00080,D,여성,20대,높음,맑음,낮,10.0,9.0,9.240057802431673,9.24002666569426,0.9999966302443036,1.0266730891590747,1.3199999999999998,3.0,0.3333333333333333,0.0,0.0
D00081,D,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.42,0.0,0.0,0.0,0.0
D00082,D,남성,20대,높음,맑음,낮,10.0,9.0,9.567677529908558,9.567677529908558,1.0,1.063075281100951,1.4257142857142855,2.0,0.2222222222222222,1.0,0.1111111111111111
D00083,D,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4271428571428573,0.0,0.0,2.0,0.2222222222222222
D00084,D,여성,20대,높음,맑음,낮,10.0,9.0,10.000006572920244,10.000002207624592,0.9999995634707217,1.1111118414355827,1.417142857142857,0.0,0.0,0.0,0.0
D00085,D,여성,30대,높음,맑음,낮,10.0,9.0,9.74355346378126,9.74352154901936,0.9999967245253982,1.0826170515312512,1.3942857142857146,2.0,0.2222222222222222,0.0,0.0
D00086,D,여성,20대,높음,맑음,낮,10.0,9.0,8.250965622813995,8.250965622813995,1.0,0.9167739580904439,0.7471428571428572,0.0,0.0,0.0,0.0
D00087,D,여성,20대,높음,맑음,낮,10.0,9.0,10.00007118300215,10.0000073407228,0.9999936158175095,1.1111190203335723,1.3014285714285714,1.0,0.1111111111111111,0.0,0.0
D00088,D,여성,30대,높음,맑음,낮,10.0,9.0,9.411796608482103,9.411784913630134,0.9999987574261903,1.0457551787202337,1.2742857142857142,0.0,0.0,0.0,0.0
D00089,D,남성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.35,2.0,0.2222222222222222,1.0,0.1111111111111111
D00090,D,남성,20대,높음,맑음,낮,10.0,9.0,8.184016946811994,8.183995625524734,0.9999973947650159,0.9093352163124437,1.42,0.0,0.0,0.0,0.0
D00091,D,남성,20대,높음,맑음,낮,10.0,9.0,8.230000367932869,8.229957030966615,0.9999947342692204,0.9144444853258743,1.4214285714285713,1.0,0.1111111111111111,0.0,0.0
D00092,D,남성,20대,높음,맑음,낮,10.0,9.0,8.708664098499408,8.708664098499408,1.0,0.9676293442777121,1.422857142857143,0.0,0.0,0.0,0.0
D00093,D,남성,20대,높음,맑음,낮,10.0,9.0,9.617324863006266,9.617270369092731,0.9999943337763556,1.0685916514451406,1.4185714285714286,1.0,0.1111111111111111,0.0,0.0
D00094,D,여성,20대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.4157142857142857,0.0,0.0,0.0,0.0
D00095,D,여성,40대,높음,맑음,낮,10.0,9.0,10.0,10.0,1.0,1.1111111111111112,1.2971428571428572,0.0,0.0,1.0,0.1111111111111111
D00096,D,남성,20대,높음,맑음,낮,10.0,9.0,9.904613557679355,9.904613557679355,1.0,1.1005126175199282,1.4185714285714286,0.0,0.0,0.0,0.0
D00097,D,여성,30대,높음,맑음,낮,10.0,9.0,10.00008577320286,10.000003200163391,0.999991742766878,1.1111206414669845,0.7000000000000001,3.0,0.3333333333333333,0.0,0.0
D00098,D,여성,20대,높음,맑음,낮,10.0,9.0,8.391417085876434,8.391417085876434,1.0,0.9323796762084926,1.1842857142857144,1.0,0.1111111111111111,1.0,0.1111111111111111
D00099,D,남성,40대,높음,맑음,낮,10.0,9.0,8.070345802975815,8.070345802975815,1.0,0.8967050892195351,1.4271428571428573,2.0,0.2222222222222222,0.0,0.0
